defect_type,defect_category,default_severity,detection_method,inspection_stage,source,active_status,notes
Good / Normal,Good / Normal,None,AOI / Visual,Bare PCB / PCBA,Project taxonomy,active,Acceptable sample with no visible defect.
Open Circuit,Electrical / Circuit Defect,Critical,AOI / Electrical Test,Bare PCB,DeepPCB / Project taxonomy,active,Broken trace or disconnected copper path.
Short Circuit,Electrical / Circuit Defect,Critical,AOI / Electrical Test,Bare PCB,DeepPCB / Project taxonomy,active,Unintended connection between conductive areas.
Mouse Bite,PCB / Pad / Surface Defect,Major,AOI / Visual,Bare PCB,DeepPCB / Project taxonomy,active,Small edge damage or bite-like defect on copper trace.
Spur,PCB / Pad / Surface Defect,Major,AOI / Visual,Bare PCB,DeepPCB / Project taxonomy,active,Unwanted copper protrusion.
Spurious Copper,PCB / Pad / Surface Defect,Major,AOI / Visual,Bare PCB,DeepPCB / Project taxonomy,active,Extra unwanted copper residue.
Pin Hole,PCB / Pad / Surface Defect,Minor,AOI / Visual,Bare PCB,DeepPCB / Project taxonomy,active,Small hole-like copper defect.
Missing Component,Component Placement Defect,Critical,AOI,PCBA,Project taxonomy,active,Expected component is absent.
Misalignment,Component Placement Defect,Major,AOI,PCBA,Project taxonomy,active,Component is shifted from its expected pad location.
Tombstone,Component Placement Defect,Major,AOI / Visual,PCBA,Project taxonomy,active,One side of a small component is lifted.
Polarity Error,Component Placement Defect,Critical,AOI / Visual,PCBA,Project taxonomy,active,Polarized component is placed in the wrong orientation.
Solder Bridge,Solder-Related Defect,Critical,AOI / Visual,PCBA,Project taxonomy,active,Adjacent pads or leads are unintentionally connected by solder.
Insufficient Solder,Solder-Related Defect,Major,AOI / 3D AOI,PCBA,Project taxonomy,active,Solder amount is insufficient for a reliable joint.
Excess Solder,Solder-Related Defect,Major,AOI / 3D AOI,PCBA,Project taxonomy,active,"Too much solder is present, possibly increasing bridge risk."
Cold Joint,Solder-Related Defect,Major,AOI / Visual,PCBA,Project taxonomy,active,Dull or poorly formed solder joint caused by insufficient heat or poor wetting.
Contamination,PCB / Pad / Surface Defect,Major,AOI / Visual,Bare PCB / PCBA,Project taxonomy,active,"Dust, residue, flux, oil, or other foreign material."
Unknown / Needs Review,Unknown,Unknown,Review Required,Bare PCB / PCBA,Project taxonomy,active,Unclear sample requiring manual review.
